trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.1999999999999996, 'e': 0.03271243493901982}",20,12,16.143696603404553,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.1999999999999996, 'e': 0.03174563637806795}",35,17,31.492852606702012,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.1999999999999996, 'e': 0.030807411032751076}",20,3,29.204243613181106,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.1999999999999996, 'e': 0.02989691443692632}",20,8,20.383830469387227,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.1999999999999996, 'e': 0.029013327082197053}",20,14,5.377087843995259,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1999999999999996, 'e': 0.028155853680300106}",20,11,-4.476575511421101,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.1999999999999996, 'e': 0.02732372244729257}",30,18,16.68426231465257,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.1999999999999996, 'e': 0.02651618440889418}",20,11,18.989160150721965,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.1999999999999996, 'e': 0.025732512726359954}",20,9,21.013239811800617,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.1999999999999996, 'e': 0.024972002042276155}",20,2,25.053697784441443,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.1999999999999996, 'e': 0.024233967845691123}",30,14,16.62402423072724,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.1999999999999996, 'e': 0.023517745856009107}",30,0,38.503051408614596,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.1999999999999996, 'e': 0.02282269142509298}",25,3,34.51146500524089,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1999999999999996, 'e': 0.022148178957037315}",25,12,24.967639525395803,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.1999999999999996, 'e': 0.021493601345089923}",20,12,12.196840675268446,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1999999999999996, 'e': 0.020858369425214726}",20,12,14.58301103423856,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.1999999999999996, 'e': 0.02024191144580439}",20,8,21.24042674832825,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1999999999999996, 'e': 0.0196436725530653}",25,2,16.7642812330501,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.1999999999999996, 'e': 0.019063114291611637}",20,14,12.05900488358639,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1999999999999996, 'e': 0.01849971411981925}",20,10,18.625660514163968,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.1999999999999996, 'e': 0.017952964939502866}",20,14,11.487606419601214,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1999999999999996, 'e': 0.017422374639493515}",25,15,20.036227117077882,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.1999999999999996, 'e': 0.01690746565270528}",25,10,26.905973319065776,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1999999999999996, 'e': 0.01640777452629266}",20,9,22.731514150682184,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
